account_id,metric_time,tenure_metric,count_unscaled,scaling,unfriend_28avg_84obs
1,2020-02-02,30.0,1,0.9333333333333333,0.9333333333333333
1,2020-02-09,37.0,1,0.7567567567567568,0.7567567567567568
1,2020-02-16,44.0,1,0.6363636363636364,0.6363636363636364
1,2020-02-23,51.0,1,0.5490196078431373,0.5490196078431373
1,2020-03-01,58.0,1,0.4827586206896552,0.4827586206896552
1,2020-03-08,65.0,1,0.4307692307692308,0.4307692307692308
1,2020-03-15,72.0,1,0.3888888888888889,0.3888888888888889
1,2020-03-22,79.0,1,0.35443037974683544,0.35443037974683544
1,2020-03-29,86.0,1,0.3333333333333333,0.3333333333333333
1,2020-04-05,93.0,1,0.3333333333333333,0.3333333333333333
4,2020-05-03,94.0,1,0.3333333333333333,0.3333333333333333
4,2020-05-10,101.0,1,0.3333333333333333,0.3333333333333333
5,2020-03-01,55.0,1,0.509090909090909,0.509090909090909
5,2020-03-08,62.0,1,0.45161290322580644,0.45161290322580644
5,2020-03-15,69.0,1,0.4057971014492754,0.4057971014492754
5,2020-03-22,76.0,1,0.3684210526315789,0.3684210526315789
5,2020-03-29,83.0,2,0.3373493975903614,0.6746987951807228
5,2020-04-05,90.0,2,0.3333333333333333,0.6666666666666666
5,2020-04-12,97.0,2,0.3333333333333333,0.6666666666666666
5,2020-04-19,104.0,2,0.3333333333333333,0.6666666666666666
5,2020-04-26,111.0,2,0.3333333333333333,0.6666666666666666
5,2020-05-03,118.0,2,0.3333333333333333,0.6666666666666666
5,2020-05-10,125.0,2,0.3333333333333333,0.6666666666666666
9,2020-03-01,44.0,1,0.6363636363636364,0.6363636363636364
9,2020-03-08,51.0,1,0.5490196078431373,0.5490196078431373
9,2020-03-15,58.0,2,0.4827586206896552,0.9655172413793104
10,2020-04-05,86.0,1,0.3333333333333333,0.3333333333333333
10,2020-04-12,93.0,1,0.3333333333333333,0.3333333333333333
10,2020-04-19,100.0,1,0.3333333333333333,0.3333333333333333
10,2020-04-26,107.0,1,0.3333333333333333,0.3333333333333333
10,2020-05-03,114.0,1,0.3333333333333333,0.3333333333333333
10,2020-05-10,121.0,1,0.3333333333333333,0.3333333333333333
11,2020-02-16,17.0,1,1.6470588235294117,1.6470588235294117
11,2020-02-23,24.0,1,1.1666666666666667,1.1666666666666667
11,2020-03-01,31.0,2,0.9032258064516129,1.8064516129032258
11,2020-03-08,38.0,2,0.7368421052631579,1.4736842105263157
11,2020-03-15,45.0,2,0.6222222222222222,1.2444444444444445
11,2020-03-22,52.0,2,0.5384615384615384,1.0769230769230769
11,2020-03-29,59.0,2,0.4745762711864407,0.9491525423728814
11,2020-04-05,66.0,2,0.42424242424242425,0.8484848484848485
11,2020-04-12,73.0,2,0.3835616438356164,0.7671232876712328
11,2020-04-19,80.0,2,0.35,0.7
11,2020-04-26,87.0,2,0.3333333333333333,0.6666666666666666
11,2020-05-03,94.0,2,0.3333333333333333,0.6666666666666666
11,2020-05-10,101.0,1,0.3333333333333333,0.3333333333333333
12,2020-03-15,56.0,1,0.5,0.5
12,2020-03-22,63.0,1,0.4444444444444444,0.4444444444444444
12,2020-03-29,70.0,1,0.4,0.4
12,2020-04-05,77.0,1,0.36363636363636365,0.36363636363636365
12,2020-04-12,84.0,1,0.3333333333333333,0.3333333333333333
12,2020-04-19,91.0,1,0.3333333333333333,0.3333333333333333
12,2020-04-26,98.0,1,0.3333333333333333,0.3333333333333333
12,2020-05-03,105.0,1,0.3333333333333333,0.3333333333333333
12,2020-05-10,112.0,2,0.3333333333333333,0.6666666666666666
13,2020-03-29,68.0,1,0.4117647058823529,0.4117647058823529
13,2020-04-05,75.0,1,0.37333333333333335,0.37333333333333335
13,2020-04-12,82.0,1,0.34146341463414637,0.34146341463414637
13,2020-04-19,89.0,1,0.3333333333333333,0.3333333333333333
13,2020-04-26,96.0,1,0.3333333333333333,0.3333333333333333
13,2020-05-03,103.0,1,0.3333333333333333,0.3333333333333333
13,2020-05-10,110.0,2,0.3333333333333333,0.6666666666666666
