calc_date,avg,n_calc,min,max
2020-02-02,24.434909326424872,9264,1.0,1692.0
2020-02-09,29.996536972906906,9818,1.0,1735.0
2020-02-16,34.090397154712505,10122,1.0,1748.0
2020-02-23,36.193700635715665,10382,1.0,1723.0
2020-03-01,36.741149815916174,10593,1.0,1743.0
2020-03-08,37.24206683515866,10683,1.0,1742.0
2020-03-15,37.32139875707263,10781,1.0,1723.0
2020-03-22,37.549150986691146,10895,1.0,1748.0
2020-03-29,37.610827561064525,10972,1.0,1710.0
2020-04-05,37.555265995686554,11128,1.0,1675.0
2020-04-12,37.80200657018556,11263,1.0,1732.0
2020-04-19,37.86403009887129,11429,1.0,1706.0
2020-04-26,38.089558683824166,11579,1.0,1720.0
2020-05-03,38.16288361812463,11763,1.0,1759.0
2020-05-10,38.22068676716918,11940,1.0,1705.0
